Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Population, total",SP.POP.TOTL,Afghanistan,AFG,33753499,34636207,35643418,36686784,37769499
"Population, total",SP.POP.TOTL,Albania,ALB,2880703,2876101,2873457,2866376,2854191
"Population, total",SP.POP.TOTL,Algeria,DZA,39543154,40339329,41136546,41927007,42705368
"Population, total",SP.POP.TOTL,American Samoa,ASM,51368,50448,49463,48424,47321
"Population, total",SP.POP.TOTL,Andorra,AND,71746,72540,73837,75013,76343
"Population, total",SP.POP.TOTL,Angola,AGO,28127721,29154746,30208628,31273533,32353588
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,89941,90564,91119,91626,92117
"Population, total",SP.POP.TOTL,Argentina,ARG,43131966,43590368,44044811,44494502,44938712
"Population, total",SP.POP.TOTL,Armenia,ARM,2878595,2865835,2851923,2836557,2820602
"Population, total",SP.POP.TOTL,Aruba,ABW,104257,104874,105439,105962,106442
"Population, total",SP.POP.TOTL,Australia,AUS,23815995,24190907,24592588,24963258,25334826
"Population, total",SP.POP.TOTL,Austria,AUT,8642699,8736668,8797566,8840521,8879920
"Population, total",SP.POP.TOTL,Azerbaijan,AZE,9649341,9757812,9854033,9939771,10024283
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,392697,395976,399020,401906,404557
"Population, total",SP.POP.TOTL,Bahrain,BHR,1362142,1409661,1456834,1487340,1494188
"Population, total",SP.POP.TOTL,Bangladesh,BGD,157830000,159784568,161793964,163683958,165516222
"Population, total",SP.POP.TOTL,Barbados,BRB,278083,278649,279187,279688,280180
"Population, total",SP.POP.TOTL,Belarus,BLR,9461076,9469379,9458989,9438785,9419758
"Population, total",SP.POP.TOTL,Belgium,BEL,11274196,11331422,11375158,11427054,11488980
"Population, total",SP.POP.TOTL,Belize,BLZ,359871,367313,374693,382066,389095
"Population, total",SP.POP.TOTL,Benin,BEN,10932783,11260085,11596779,11940683,12290444
"Population, total",SP.POP.TOTL,Bermuda,BMU,65237,64554,63873,63918,63911
"Population, total",SP.POP.TOTL,Bhutan,BTN,743274,749761,756121,762096,767459
"Population, total",SP.POP.TOTL,Bolivia,BOL,11090085,11263015,11435533,11606905,11777315
"Population, total",SP.POP.TOTL,Bosnia and Herzegovina,BIH,3524324,3480986,3440027,3400129,3360711
"Population, total",SP.POP.TOTL,Botswana,BWA,2305171,2352416,2401840,2451409,2499702
"Population, total",SP.POP.TOTL,Brazil,BRA,205188205,206859578,208504960,210166592,211782878
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,29366,29739,30060,30335,30610
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,421437,425994,430276,434274,438048
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7177991,7127822,7075947,7025037,6975761
